Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
52831200,"From Blood and Ash (Blood and Ash, #1)",Jennifer L. Armentrout,"Armentrout, Jennifer L.",,"=""1952457017""","=""9781952457012""",5,4.24,Blue Box Press,ebook,622,2020,2020,2020/09/20,2020/09/01,,,read,"disclaimer: I apologise for my lack of words for I am not feeling articulate while writing this review. <br/><br/>I read this with no expectations at all and I must say, what the hell did I just read?? the world building is so intriguing even though I am not a fan of werewolves and vampires. The ""plot twists"" even though I already know what is coming, I still felt surprised regardless. The amount of steamy scenes made me scream so much. The amount of times I gasped while reading this book is immeasurable. Overall, this is a wholeass journey.",true,,1,0
46184206,"Becoming the Dark Prince (Stalking Jack the Ripper, #3.5)",Kerri Maniscalco,"Maniscalco, Kerri",,"=""""","=""9780316428705""",5,4.33,"Little, Brown and Company",ebook,64,2019,2019,2020/09/19,2020/09/16,,,read,,,,1,0
30375937,"Escaping from Houdini (Stalking Jack the Ripper, #3)",Kerri Maniscalco,"Maniscalco, Kerri",,"=""""","=""9780316551694""",4,3.95,JIMMY Patterson,ebook,416,2018,2018,2020/09/19,2020/09/16,,,read,,,,1,0
16303287,The Bane Chronicles,Cassandra Clare,"Clare, Cassandra","Sarah Rees Brennan, Maureen Johnson, Cassandra Jean","=""1442495995""","=""9781442495999""",4,4.09,Margaret K. McElderry Books,Hardcover,507,2014,2014,2020/09/17,2020/08/26,,,read,,,,1,0
17699853,"Chain of Gold (The Last Hours, #1)",Cassandra Clare,"Clare, Cassandra",,"=""1481431870""","=""9781481431873""",4,4.40,Margaret K. McElderry Books,Hardcover,582,2020,2020,2020/09/13,2020/02/03,,,read,,,,1,0
28954137,Tales from the Shadowhunter Academy,Cassandra Clare,"Clare, Cassandra","Sarah Rees Brennan, Maureen Johnson, Robin Wasserman, Cassandra Jean","=""1481443259""","=""9781481443258""",4,4.31,Margaret K. McElderry Books,Hardcover,655,2016,2016,2020/09/01,2020/08/31,,,read,,,,1,0
13188676,"Ignite Me (Shatter Me, #3)",Tahereh Mafi,"Mafi, Tahereh",,"=""""","=""""",4,4.47,HarperCollins ,Kindle Edition,421,2014,2014,2018/02/13,2018/02/12,,,read,,,,2,0
13104080,"Unravel Me (Shatter Me, #2)",Tahereh Mafi,"Mafi, Tahereh",,"=""0062085530""","=""9780062085535""",3,4.15,HarperCollins ,Hardcover,461,2013,2013,2018/02/12,2018/02/11,,,read,,,,2,0
51588815,The Marriage Game (Marriage Game #1),Sara Desai,"Desai, Sara",,"=""0593100565""","=""9780593100561""",2,3.52,Berkley,Paperback,338,2020,2020,2020/08/24,2020/08/23,,,read,,,,1,0
39338454,"The Bride Test (The Kiss Quotient, #2)",Helen Hoang,"Hoang, Helen",,"=""0451490827""","=""9780451490827""",4,3.83,Berkley,Paperback,296,2019,2019,2020/08/21,2020/08/21,,,read,,,,1,0
